date,hour,activity,workout,keywords,time,i0,i1,i2,i3,i4,i5,distance(km),climb(m),intensity,t-intensity,ahr,mhr,controls,spiked,rhr,sleep,weight(kg),injured,sick,restday,shoes,route,description,private note
2010-11-01,23,Running,,,00:45:00,,,,00:45:00,,,8.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,,
2010-11-02,,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,,,,
2010-11-03,21,Running,,,01:10:00,,,,01:10:00,,,14.6,,3.0,,,,,,,,,,,,Brooks lenkkarit,,,
2010-11-05,20,Running,,,00:20:00,,00:20:00,,,,,4.0,,1.0,,,,,,,,,,,,Brooks lenkkarit,,,
2010-11-06,7,Yoga,,,00:10:00,,00:10:00,,,,,,,1.0,,,,,,,,,,,,barefoot - avojaloin,,,
2010-11-06,10,Orienteering,,,02:05:00,,,,,,02:05:00,17.0,,5.0,,,,,,,,,,,,VJ Bold,,"Raatojuoksu 15km. Alle lämmittelyt lähtöpaikalle. Hyvin meni siihen nähden että olen huonossa kunnossa ja suunnistanut vähän.
Puolessa välissä nitkautin alaselkää hypätessäni jyrkänteeltä. Vähän vaivasi siitä eteenpäni. Aika poikki olin maalissa ja viimeiset kolme kilsaa juoksu oli yhtä lyllerrystä.",
2010-11-07,,Note,,,,,,,,,,,,,,,,,,,,,1,,1,,,"Joka paikka kipeänä raatojuoksun jäljiltä. Etenkin alaselkä on kipeä, jopa niin että yöllä oli vaikeuksia nukkua. Täytyy ottaa iisisti pari päivää ja katsoa meneekö vaiva ohi.",
2010-11-08,,Note,,,,,,,,,,,,,,,,,,,,,1,,,,,Selkä on kipiä,
2010-11-09,,Note,,,,,,,,,,,,,,,,,,,,,1,,,,,Selkä on kipiä,
2010-11-10,,Note,,,,,,,,,,,,,,,,,,,,,1,,,,,Selkä on kipiä,
2010-11-11,,Note,,,,,,,,,,,,,,,,,,,,,1,,,,,Selkä on kipiä,
2010-11-11,,Note,,,,,,,,,,,,,,,,,,,,,1,,,,,Selkä on kipiä,
2010-11-12,,Note,,,,,,,,,,,,,,,,,,,,,1,,,,,"Selkä on kipiä. Tuumasin jo lähteä vähän lenkille, mutta olin myös väsynyt. ",
2010-11-13,,cycling,,,01:40:00,,,,01:40:00,,,34.0,,3.0,,,,,,,,,,,,Bike: Rossano_9speed,,,
2010-11-14,21,Running,warm up/down,,00:25:00,,,00:25:00,,,,5.0,,2.0,,,,,,,,,,,,Brooks lenkkarit,,Iltalenkki,
2010-11-14,22,kettlebell,,,00:05:00,,,,,00:05:00,,,,4.0,,,,,,,,,,,,,,Vähän heiluttelin että tarkeni suihkuun,
2010-11-16,19,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Selkä oli yllättävän hyvä. Opettajaa taas nauratti.,
2010-11-17,22,Running,,,00:25:00,,,00:25:00,,,,5.0,,2.0,,,,,,,,,,,,Brooks lenkkarit,,,
2010-11-18,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,Verenluovutus. hb151. vähän laihaa.,
2010-11-20,8,Running,,,00:35:00,,,00:35:00,,,,7.0,,2.0,,,,,,,,,,,,Brooks lenkkarit,,Iidesjärven ympäri,
2010-11-21,8,Running,,,00:40:00,,,,00:40:00,,,8.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,Iidesjärven ympäri ja vähän hautuumaata.,
2010-11-21,19,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Taas jouduin opettajan silmätikuksi,
2010-11-24,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,"Töitä ja yskää ja lumisadetta. Ei ehdi lenkille, mutta fillarilla on tullut kaahailtua ja työpaikalla heiluteltua kahvakuulaa. Pienistä puroista syntyy suuri puro, vai miten se menikään.",
2010-11-25,18,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Alkaa vähitellen ruoto taipua.,
2010-11-27,15,Running,,,01:45:00,,,,01:45:00,,,17.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,"Hyvin kulki, vaikka hitaasti.",
2010-11-29,17,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,,
2010-12-01,19,Running,,,00:50:00,,,,00:50:00,,,11.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,Vedin vähän reippaammin kun kerran kulkee,
2010-12-02,18,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Vedin vähän voimakkaammin. Tehot samalla tasolla kuin tukkimessällä kun nuoskalunta puoleen reiteen.,
2010-12-05,14,games,,sählyä ja salfutia,00:35:00,,,,00:35:00,,,,,3.0,,,,,,,,,,,,,,,
2010-12-05,15,Yoga,,,00:30:00,,,00:30:00,,,,,,2.0,,,,,,,,,,,,barefoot - avojaloin,,Urheilutalon näyttämöllä vähän vetun poikain kans voimisteltiin,
